_id,building,class_code,class_type,classroom,created_by,end_period,end_time,has_to_be_allocated,pendings,preferences.accessibility,preferences.air_conditioning,preferences.building,preferences.projector,professor,start_period,start_time,subject_code,subject_name,subscribers,updated_at,vacancies,week_day
6390df7a0d97fb7dc16400e1,Biênio,2023108,Teórica,C2-09,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,7,07/12/2022 16:25,5,qua
6390df7a0d97fb7dc16400e3,Biênio,2023108,Teórica,C1-01,luizhiguti,2023-07-15,16:40,true,0,false,false,Biênio,false,,2023-03-13,15:00,MAT2453,Cálculo Diferencial e Integral I,7,07/12/2022 16:25,5,sex
6390df7a0d97fb7dc16400e5,Biênio,2023109,Teórica,C1-04,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,4,07/12/2022 16:25,5,seg
6390df7a0d97fb7dc16400e7,Biênio,2023109,Teórica,C1-01,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,4,07/12/2022 16:25,5,qua
6390df7a0d97fb7dc16400e9,Biênio,2023109,Teórica,C2-08,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,4,07/12/2022 16:25,5,sex
6390df7a0d97fb7dc16400eb,Biênio,2023110,Teórica,A1-02,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,6,07/12/2022 16:25,10,seg
6390df7a0d97fb7dc16400ed,Biênio,2023110,Teórica,A1-04,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,6,07/12/2022 16:25,10,qua
6390df7a0d97fb7dc16400ef,Biênio,2023110,Teórica,A1-03,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,6,07/12/2022 16:25,10,sex
6390df7a0d97fb7dc16400f1,Biênio,2023111,Teórica,C2-09,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,5,07/12/2022 16:25,10,seg
6390df7a0d97fb7dc16400f3,Biênio,2023111,Teórica,A1-04,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,5,07/12/2022 16:25,10,qua
6390df7a0d97fb7dc16400f5,Biênio,2023111,Teórica,C1-09,luizhiguti,2023-07-15,09:10,true,0,false,false,Biênio,false,,2023-03-13,07:30,MAT2453,Cálculo Diferencial e Integral I,5,07/12/2022 16:25,10,sex
6390df7a0d97fb7dc16400f7,Biênio,2023112,Teórica,C2-07,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,8,07/12/2022 16:25,5,seg
6390df7a0d97fb7dc16400f9,Biênio,2023112,Teórica,C2-06,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,8,07/12/2022 16:25,5,qua
6390df7a0d97fb7dc16400fb,Biênio,2023112,Teórica,C1-09,luizhiguti,2023-07-15,11:00,true,0,false,false,Biênio,false,,2023-03-13,09:20,MAT2453,Cálculo Diferencial e Integral I,8,07/12/2022 16:25,5,sex
