_id,accessibility,air_conditioning,building,capacity,classroom_name,created_by,floor,projector,updated_at
63629088e2d45a83eecadaa7,false,false,FAU,100,FAU,,0,false,14/02/2019 09:51
63629088e2d45a83eecadaa8,false,false,Mecânica,0,A-02,,0,false,17/02/2019 12:19
63629088e2d45a83eecadaa9,false,false,Mecânica,0,A-08,,0,false,17/02/2019 11:32
63629088e2d45a83eecadaaa,false,false,Mecânica,0,A-09,,0,false,17/02/2019 11:32
63629088e2d45a83eecadaab,false,false,Mecânica,0,TS-09,,1,false,17/02/2019 12:18
63629088e2d45a83eecadaac,false,false,Mecânica,0,A-03,,0,false,17/02/2019 12:18
63629088e2d45a83eecadaad,false,false,Mecânica,0,A-07,,0,false,17/02/2019 12:19
63629088e2d45a83eecadaae,false,false,Mecânica,0,A-10A,,0,false,17/02/2019 12:20
63629088e2d45a83eecadaaf,false,false,Mecânica,0,A-01A,,0,false,17/02/2019 13:02
63629088e2d45a83eecadab0,false,false,Mecânica,0,TS-43,,1,false,17/02/2019 13:19
63629088e2d45a83eecadab1,false,false,Mecânica,0,TS-20,,1,false,17/02/2019 13:19
63629088e2d45a83eecadab2,false,false,Eng. Química,100,B20t-6/8,,0,false,17/02/2019 13:39
63629088e2d45a83eecadab3,false,false,Mecânica,0,A-04,,0,false,17/02/2019 13:39
63629088e2d45a83eecadab4,false,false,Mecânica,0,A-06,,0,false,17/02/2019 13:40
63629088e2d45a83eecadab5,false,false,Mecânica,0,TS-02,,1,false,17/02/2019 13:41
63629088e2d45a83eecadab6,false,false,Mecânica,0,A-05,,0,false,17/02/2019 13:41
63629088e2d45a83eecadab7,false,false,Eng. Química,100,LAREX,,2,false,17/02/2019 13:54
63629088e2d45a83eecadab8,false,false,Mecânica,0,TS-03,,1,false,17/02/2019 14:04
63629088e2d45a83eecadab9,false,false,Mecânica,0,MT-15,,0,false,17/02/2019 14:42
63629088e2d45a83eecadaba,false,false,Mecânica,0,Oficina,,0,false,17/02/2019 14:45
63629088e2d45a83eecadabb,false,true,Produção,35,D2-114,,1,false,20/02/2019 18:38
63629088e2d45a83eecadabc,false,false,Minas e Metal,0,T4,,0,false,24/02/2019 11:55
63629088e2d45a83eecadabd,false,false,Minas e Metal,0,T1,,0,false,24/02/2019 11:55
63629088e2d45a83eecadabe,false,false,Minas e Metal,0,T2,,0,false,24/02/2019 11:55
63629088e2d45a83eecadabf,false,false,Minas e Metal,0,T3,,0,false,24/02/2019 11:55
63629088e2d45a83eecadac0,false,false,Minas e Metal,0,T5,,0,false,24/02/2019 12:13
63629088e2d45a83eecadac1,false,false,Metal,0,Anf Metal,,0,false,26/02/2019 18:11
6362910064b35453921ca994,false,false,Biênio,75,C1-01,luizhiguti,1,true,07/12/2022 14:53
638926c66ec8c656b8c3bad1,true,true,string,0,string,swagger,0,true,01/12/2022 19:12
